"","X","code","title","website","uni","country","city","lat","lon","xmin","ymin","xmax","ymax"
"140",176,"Media AC","Media AC ̐ Media Arts Cultures","http://www.mediaartscultures.eu/","Aalborg University","Denmark","Aalborg",57.0488195,9.921747,7.9217,20.3964,116.1095,59.0488
"141",177,"MEEES"," Masters in Earthquake Engineering and Engineering Seismology","http://www.meees.org/","University of Grenoble Joseph Fourier","France","Grenoble",45.188529,5.724524,3.7245,36.2466,34.8597,54.401
"142",178,"MEGEI"," MA Economics of Globalisation and European Integration","http://www.ua.ac.be/egei","University of Bari Aldo Moro","Italy","Bari",41.1171488,16.8719083,-49.8822,-17.7942,18.8719,55.0027
"143",179,"MEME"," Erasmus Mundus Master Programme in Evolutionary Biology","http://www.evobio.eu/","Ludwig Maximilians University of Munich","Germany","Munich",48.1351253,11.5819806,-73.1097,40.3736,19.6389,61.8586
"144",180,"MEREMMC"," European MSc in Marine Environment and Resources","http://www.merconsortium.eu/","Bordeaux University","France","Bordeaux",44.837789,-0.57918,-4.9901,41.3267,7.5591,52.9097
"145",181,"MFAMILY"," European Master in Social Work with Families and Children","http://www.mfamily.eu/","University of Gothenburg","Sweden","Gothenburg",57.70887,11.97456,-11.1393,-1.6524,34.5825,60.97
"146",182,"MIM"," Crossing the Mediterranean: towards investment and integration","http://www.mastermimplus.eu/","Paul-Valery Montpellier University","France","Montpellier",43.610769,3.876716,0.1734,39.3851,14.3155,47.4408
"147",184,"MONABIP"," Molecular Nano- and Biophotonics","http://www.monabiphot.ens-cachan.fr/","Complutense University of Madrid","Spain","Madrid",40.4167754,-3.7037902,-5.7038,38.4168,19.0385,53.1079
"148",186,"MUNDUS JOURNALISM"," Erasmus Mundus Masters Journalism, Media and Globalisation","http://www.mundusjournalism.com/","City University London","UK","London",51.5073509,-0.1277583,-5.9436,49.5074,11.9937,55.5511
"149",188,"MUNDUS URBANO"," Master of Science in International Cooperation and Urban Development","http://www.mundus-urbano.eu/","Darmstadt University","Germany","Darmstadt",49.8728253,8.6511929,0.1734,39.3851,14.4964,51.8728
"150",190,"PERCCOM"," PERvasive Computing & COMmunications for Sustainable Development","http://perccom.univ-lorraine.fr/","University of Lorraine","France","Nancy",48.692054,6.184417,-1.6649,46.6921,30.1897,67.5848
"151",192,"PlantHealth"," European Master degree in Plant Health in Sustainable Cropping Systems","http://planthealth.upv.es/","University of Göttingen","Germany","Göttingen",51.5412804,9.9158035,-3.6778,37.4699,13.8768,53.5413
"152",193,"QEM"," Models and Methods of Quantitative Economics","http://erasmusmundus-qem.univ-paris1.fr/","Pantheon-Sorbonne University","France","Paris",48.856614,2.3522219,0.1734,39.3851,14.3155,54.0302
"153",195,"SPACEMASTER"," EMMC in Space Science and Technology","http://www.spacemaster.eu/","University of Würzburg","Germany","Würzburg",49.7913044,9.9533548,-2.6087,33.6895,141.6917,67.5848
"154",196,"SSI"," Joint International Master in Smart Systems Integration","http://ssi-master.eu/","Buskerud and Vestfold University College","Norway","Vestfold",59.1707862,10.1144355,-5.1883,45.4979,21.0402,61.1708
"155",197,"STEPS"," Erasmus Mundus Master Course in Sustainable Transportation and Electrical Power Systems","http://emmcsteps.uniovi.es/","University of Nottingham","UK","Nottingham",52.9547832,-1.1581086,-10.4404,38.2048,14.4964,54.9548
"156",199,"SUSCOS"," Sustainable Constructions under Natural Hazards and Catastrophic Events","http://steel.fsv.cvut.cz/suscos/","University of Liège","Belgium","Liège",50.6325574,5.5796662,-10.4404,38.2048,24.1567,67.5848
"157",200,"TCCM"," Euromaster on Theoretical Chemistry and Computational Modelling","http://www.emtccm.org/","University of Valencia","Spain","Valencia",39.4699075,-0.3762881,-10.6291,37.4699,14.3908,55.2194
"158",201,"TPTI"," Techniques, Patrimoine, Territoires de l'Industrie","http://www.tpti.eu/","University of Evora","Portugal","Evora",38.5707119,-7.9093074,-9.9093,36.5707,13.8768,50.8566
"159",202,"TRIBOS"," Joint European master in tribology of surfaces and interfaces","http://www.master-tribos.eu/","University of Ljubljana","Slovenia","Ljubljana",46.0569465,14.5057515,-10.4404,38.2048,24.1567,67.5848
"160",203,"TROPIMUNDO"," Erasmus Mundus Masters Course in Tropical Biodiversity and Ecosystems","http://www.tropimundo.eu/","Free University of Brussels","Belgium","Brussels",50.8503396,4.3517103,0.3522,-29.4954,155.012,52.8503
"161",204,"VINIFERA"," European Master of Science of Viticulture and Enology","http://vinifera-euromaster.eu/","Bordeaux Sciences Agro","France","Bordeaux",44.837789,-0.57918,-11.1393,36.7223,15.2346,51.9844
"162",206,"WINTOUR"," EMJMD on Wine Tourism Innovation","http://www.wintour-master.eu/en_index/","University of Bordeaux","France","Bordeaux",44.837789,-0.57918,-10.6291,39.1189,3.2445,46.8378
"163",207,"4CITIES"," UNICA Euromaster in Urban Studies","http://www.4cities.eu/","University of Vienna","Austria","Vienna",48.2081743,16.3738189,-5.7038,3.6761,18.3738,52.8503
"164",208,"ACES"," Joint Masters Degree in Aquaculture, Environment and Society","http://www.sams.ac.uk/aces-erasmus","University of Nantes","France","Nantes",47.218371,-1.553621,-7.471,33.3387,27.1442,58.4152
"165",209,"ADVANCES"," MA Advanced Development in Social Work","http://www.socialworkadvances.org/","University of Lisbon","Portugal","Lisbon",38.7222524,-9.1393366,-11.1393,36.7223,23.0122,59.0488
"166",210,"AMASE"," Joint European Master Programme on Advanced Materials Science and Engineering","http://www.amase-master.net/","University of Lorraine","France","Nancy",48.692054,6.184417,0.1734,39.3851,24.1567,67.5848
"167",211,"ARCHMAT"," European Master in ARCHaeological MATerials Science","http://www.erasmusmundus-archmat.uevora.pt/","Aristotle University of Thessaloniki","Greece","Thessaloniki",40.6400629,22.9444191,-9.9093,36.5707,24.9444,43.9028
"168",212,"ASC"," Advanced Spectroscopy in Chemistry Master's Course","http://www.master-asc.org/","Jagiellonian University","Poland","Krakow",50.0646501,19.9449799,1.0573,42.4949,26.9384,62.1699
"169",213,"ASTROMUNDUS"," Astrophysics","http://www.astromundus.eu/","University of Göttingen","Germany","Göttingen",51.5412804,9.9158035,-0.5959,39.9028,22.4489,53.5413
"170",214,"ATOSIM"," Atomic Scale Modelling of Physical, Chemical and Bio-molecular Systems","http://www.erasmusmundus-atosim.cecam.org/","Free University of Amsterdam","Netherlands","Amsterdam",52.3702157,4.8951679,2.8357,39.9028,14.4964,54.3702
"171",215,"BIFTEC"," European Master of Science in Food Science, Technology and Business","http://www.fet.kuleuven.be/biftec","Anhalt University of Applied Sciences","Germany","Bernburg",51.7833579,11.7537327,-10.6291,39.1579,13.7537,53.7834
"172",216,"CARTO","CARTO E+ JMD Cartography","http://www.cartographymaster.eu/","Dresden University of Technology","Germany","Dresden",51.0504088,13.7372621,4.8937,46.1351,18.3738,54.2215
"173",217,"ChIR"," Erasmus Mundus Master in Chemical Innovation and Regulation","http://www.emmcchir.org/","University of Bologna","Italy","Bologna",44.494887,11.3426163,-9.9304,35.0194,13.3426,57.9533
"174",219,"CLE"," Master Erasmus Mundus en  en Cultures Litt̩raires Europ̩ennes","http://www.cle.unibo.it/site/","University of Strasbourg","France","Strasbourg",48.5734053,7.7521113,-19.366,12.7645,24.9444,50.5734
"175",220,"CoDe"," Joint European Master in Comparative Local Development","http://www.erasmusmundus-code.eu/","University of Ljubljana","Slovenia","Ljubljana",46.0569465,14.5057515,9.1217,44.0569,21.0402,51.0134
"176",221,"CoMEM"," Erasmus Mundus MSC Coastal and Marine Engineering and Management","http://www.ntnu.edu/studies/mscomem","Delft University of Technology","Netherlands","Delft",52.0115769,4.3570677,-3.4044,39.3851,12.3951,65.4305
"177",222,"COSI","COSI Colour in Science and Industry","http://www.master-colorscience.eu/","University of Eastern Finland","Finland","Joensuu",62.6010155,29.7635719,-5.5986,35.1773,31.7636,64.601
"178",224,"DCLead"," Msc Digital Communication Leadership","http://www.dclead.eu/","Free University of Brussel","Belgium","Brussels",50.8503396,4.3517103,2.3517,45.8095,15.055,59.0488
"179",226,"Dyclam"," Dynamics of cultural landscapes and heritage management","http://www.dyclam.eu/fr/","University of Naples Federico II","Italy","Napoli",40.8517746,14.2681244,-10.4043,37.6052,16.2681,50.8566
"180",227,"EACH"," Excellence in Analytical Chemistry","http://www.analyticalchemistry.eu/","Uppsala University","Sweden","Uppsala",59.8585638,17.6389267,2.8357,43.764,24.2666,62.4518
"181",229,"EM HRPP"," Erasmus Mundus Masters in Human Rights Policy and Practice","http://ws1.roehampton.ac.uk/admissions/erasmusmundus/hrp/index.html","University of Deusto","Spain","Bilbao",43.2630126,-2.9349852,-4.935,41.263,13.9746,59.7089
"182",230,"EMARO+"," European Master on Advanced Robotics +","http://emaro.irccyn.ec-nantes.fr/","University of Genova","Italy","Genova",44.4056499,8.946256,-3.5536,37.9864,23.0122,54.2297
"183",231,"EMECC NURSING"," Emergency and Critical Care Nursing","http://masternursing.uniovi.es/","Polytechnic University of Santarém","Portugal","Santarém",39.2848804,-8.704075,-10.686,35.0194,26.9384,62.1699
"184",232,"EMECS"," European Masters programme in Embedded Computing Systems","http://www.emecs.eu/","University of Southampton","UK","Southampton",50.9097004,-1.4043509,-3.4044,47.4401,12.3951,65.4305
"185",233,"EMERALD"," Master Course in Georesources Engineering","http://em-georesources.eu/","Lulea University of Technology","Sweden","Lulea",65.584819,22.1567026,3.5591,46.6921,24.1567,67.5848
"186",234,"EMGS"," Global Studies - A European Perspective","http://www.globalstudies-masters.info/","University of Leipzig","Germany","Leipzig",51.3396955,12.3730747,-2.1278,46.2082,19.0385,57.6419
"187",235,"EMLE"," European Master in Law and Economics","http://www.emle.org/","University of Bologna","Italy","Bologna",44.494887,11.3426163,1.7174,17.076,74.8777,55.5511
"188",236,"EMLex ","European Master in Lexicography","http://www.emlex.phil.uni-erlangen.de/","University of Lorraine","France","Nancy",48.692054,6.184417,-10.5448,-35.9321,21.0402,54.1548
"189",237,"EMMCMSP"," Erasmus Mundus Master Course on Maritime Spatial Planning","http://www.iuav.it/Didattica1/master/master---I1/Erasmus-Mu/","University of Seville","Spain","Seville",37.3890924,-5.9844589,-27.6806,35.3891,14.3155,47.4408
"190",238,"EMM-Nano","Nano - Erasmus Mundus Master in Nanoscience and Nanotechnology","http://www.emm-nano.org/","University Joseph Fourier","France","Grenoble",45.188529,5.724524,2.7005,43.1885,15.7373,59.7089
"191",239,"EMPHID"," Public Health in Disasters","http://www.pubhealthdisasters.eu/","University of Oviedo","Spain","Oviedo",43.3619145,-5.8493887,-7.8494,41.3619,20.0084,61.3689
"192",240,"EMQAL"," European Joint Master in Quality in Analytical Laboratories","http://www.emqal.org/","University of Bergen","Norway","Bergen",60.3912628,5.3220544,-9.9304,34.5271,20.6466,62.3913
"193",242,"EMSD"," European Master programme in Systems Dynamics","http://www.europeansystemdynamics.eu/","University of Palermo","Italy","Palermo",38.1156879,13.3612671,-11.1393,36.1157,15.3613,62.3913
"194",243,"EMSE"," European Masters Programme in Software Engineering","http://em-se.eu/","University of Kaiserslautern","Germany","Kaiserslautern",49.4400657,7.7491265,-5.7038,38.4168,27.4651,67.0121
"195",244,"EMSHIP"," European Education in Advanced Ship Design","http://www.emship.eu/","University of Galati Dunarea de Jos","Romania","Galati",45.4353208,28.0079945,-3.5536,42.4056,30.008,56.0924
"196",245,"EMTM"," European Master in Tourism Management","http://www.emtmmaster.net/","University of Girona","Spain","Girona",41.9794005,2.8214264,0.8214,39.9794,16.5058,57.496
"197",246,"EPOG"," Master's Course - Economic Policies in the age of Globalisation : knowledge, finance and development","http://www.epog.eu/","Kingston University","UK","Kingston",51.41233,-0.300689,-2.3007,-28.2041,30.0473,54.52
"198",247,"EUCOMOR"," European Master in Comparative Morphology","http://www.eucomor.net/","University of Veterinary Medicine","Austria","Vienna",48.2081743,16.3738189,2.4025,38.8518,18.9252,54.4064
"199",250,"EUROPHOTONICS"," Master in Photonics Engineering, Nanophotonics and Biophotonics","http://www.europhotonics.org/wordpress/","Polytechnic University of Catalonia","Spain","Barcelona",41.3850639,2.1734035,0.1734,39.3851,27.2797,56.6872
"200",251,"EU4M - EMMC"," EMMC Mechatronic Engineering","http://www.eu4m.eu/","École Nationale Supérieure de Mécanique et des Microtechniques","France","Besançon",47.237829,6.0240539,-7.8494,28.0131,42.9766,59.0051
"201",252,"EUPADRA"," PARLIAMENTARY PROCEDURES AND LEGISLATIVE DRAFTING","http://eupadra.eu/","Complutense University of Madrid","Spain","Madrid",40.4167754,-3.7037902,-5.7038,38.4168,14.4964,53.5074
"202",255,"GroundwatCH"," Groundwater and Global Change - Impacts and Adaptation","http://www.groundwatermaster.eu/","Dresden University of Technology","Germany","Dresden",51.0504088,13.7372621,-11.1393,36.7223,15.7373,54.0116
"203",257,"GeoTech"," Master of Science in Geospatial Technologies","http://mastergeotech.info/","New University of Lisbon","Portugal","Lisbon",38.7222524,-9.1393366,-11.1393,36.7223,9.6261,53.9607
"204",258,"GLOBED","GLOBED Erasmus Mundus Joint Master Degree on Education Policies for Global Development","http://globed.eu/","University of Malta","Malta","Msida",35.8956388,14.4868883,0.1734,33.8956,16.4869,61.9139
"205",259,"IMAE"," International Master in Applied Ecology","http://www.emmc-imae.org/","University of Coimbra","Portugal","Coimbra",40.2048286,-8.4403573,-53.2177,-32.0346,12.1228,56.3233
"206",260,"IMAESC"," International Master in Adult Education for Social Change","http://www.gla.ac.uk/postgraduate/erasmusmundus/imaesc/","Tallinn University","Estonia","Tallinn",59.4369608,24.7535746,-6.2518,33.8956,26.7536,61.437
"207",261,"IMFSE"," International Master of Science in Fire Safety Engineering","http://www.imfse.ugent.be/","The University of Edinburgh","UK","Edinburgh",55.953252,-3.188267,-5.1883,49.0543,15.191,57.9533
"208",262,"IMIM"," International Master in Industrial Management","http://www.imim.polimi.it/","Heriot-Watt University","UK","Edinburgh",55.953252,-3.188267,-5.7038,38.4168,13.582,57.9533
"209",263,"IMIM Med"," International Master in Innovative Medicine","http://www.innovativemedicine.eu/","Uppsala University","Sweden","Uppsala",59.8585638,17.6389267,4.5665,47.3988,19.6389,61.8586
"210",264,"IMQP"," Erasmus Mundus Master in Quaternary and Prehistory","https://sites.google.com/a/unife.it/quaternary-prehistory/","Polytechnic Institute of Tomar","Portugal","Tomar",39.6052067,-8.4042526,-10.4043,37.6052,13.6198,50.8566
"211",265,"IMRCEES"," International Masters in Russian, Central and East European Studies","http://www.gla.ac.uk/postgraduate/erasmusmundus/imrcees/","Corvinus University of Budapest","Hungary","Budapest",47.497912,19.040235,-6.2518,39.7151,78.8512,60.3776
"212",266,"IMRD"," International Master of Science in Rural Development","http://www.imrd.ugent.be/","Agrocampus Ouest","France","Rennes",48.117266,-1.6777926,-3.6778,41.7228,20.0764,54.52
"213",269,"KINOEYES | KEM"," The European Movie Masters","http://www.kinoeyes.eu/","Baltic Film and Media School","Estonia","Tallinn",59.4369608,24.7535746,-11.1393,36.7223,26.7536,61.437
"214",270,"LCT"," European Masters Program in Language and Communication Technologies","http://www.lct-master.org/","University of Lorraine","France","Nancy",48.692054,6.184417,-3.9812,33.8956,16.4869,55.2194
"215",271,"LIVE"," Leading International Vaccinology Education","http://live.univ-lyon1.fr/","Autonomous University of Barcelona","Spain","Barcelona",41.3850639,2.1734035,0.1734,39.3851,6.8357,53.2194
"216",272,"MAIA"," Medical Imaging and Applications EMJMD","http://www.maiamaster.org/","University of Cassino and Southern Lazio","Italy","Cassino",41.4866953,13.8332193,0.8214,39.4908,15.8334,49.322
"217",273,"MAMASELF"," Master in material science exploring European large scale facilities","http://www.mamaself.eu/","Ludwig Maximilian University","Germany","Munich",48.1351253,11.5819806,-3.6778,41.6108,13.582,50.1351
"218",275,"MATHMODS"," Mathematical Modelling in Engineering: Theory, Numerics, Applications","http://www.mathmods.eu/","Gdansk University of Technology","Poland","Gdansk",54.3520252,18.6466384,0.1734,39.3851,20.6466,56.352
"219",276,"MCM"," Master of Science in Computational Mechanics","http://www.cimne.com/cm-master/","Polytechnic University of Catalonia","Spain","Barcelona",41.3850639,2.1734035,-5.9436,39.3851,11.1829,53.6214
"220",277,"ME3"," European Joint Masters in Management and Engineering of Environment and Energy","http://www.emn.fr/z-de/me3-site/","The Technical University of Madrid","Spain","Madrid",40.4167754,-3.7037902,-7.9301,38.4168,21.0402,61.3293
"221",279,"Media AC","Media AC Media Arts Cultures","http://www.mediaartscultures.eu/","University of Lodz","Poland","Lodz",51.7592485,19.4559833,7.9217,20.3964,116.1095,59.0488
"222",280,"MEEES"," Masters in Earthquake Engineering and Engineering Seismology","http://www.meees.org/","University of Patras","Greece","Patras",38.2466395,21.734574,3.7245,36.2466,34.8597,54.401
"223",281,"MEGEI"," MA Economics of Globalisation and European Integration","http://www.ua.ac.be/egei","Staffordshire University","UK","Stoke-on-Trent",53.002668,-2.179404,-49.8822,-17.7942,18.8719,55.0027
"224",282,"MEME"," Erasmus Mundus Master Programme in Evolutionary Biology","http://www.evobio.eu/","Uppsala University","Sweden","Uppsala",59.8585638,17.6389267,-73.1097,40.3736,19.6389,61.8586
"225",283,"MEREMMC"," European MSc in Marine Environment and Resources","http://www.merconsortium.eu/","University of Liège","Belgium","Liège",50.6325574,5.5796662,-4.9901,41.3267,7.5591,52.9097
"226",284,"MFAMILY"," European Master in Social Work with Families and Children","http://www.mfamily.eu/","University of Stavanger","Norway","Stavanger",58.9699756,5.7331073,-11.1393,-1.6524,34.5825,60.97
"227",285,"MIM"," Crossing the Mediterranean: towards investment and integration","http://www.mastermimplus.eu/","Ca' Foscari University of Venice","Italy","Venice",45.4408474,12.3155151,0.1734,39.3851,14.3155,47.4408
"228",287,"MONABIP"," Molecular Nano- and Biophotonics","http://www.monabiphot.ens-cachan.fr/","Wroclaw University of Technology","Poland","Wroclaw",51.1078852,17.0385376,-5.7038,38.4168,19.0385,53.1079
"229",289,"MUNDUS JOURNALISM"," Erasmus Mundus Masters Journalism, Media and Globalisation","http://www.mundusjournalism.com/","University of Hamburg","Germany","Hamburg",53.5510846,9.9936818,-5.9436,49.5074,11.9937,55.5511
"230",291,"MUNDUS URBANO"," Master of Science in International Cooperation and Urban Development","http://www.mundus-urbano.eu/","University of Catalonia","Spain","Barcelona",41.3850639,2.1734035,0.1734,39.3851,14.4964,51.8728
"231",293,"PERCCOM"," PERvasive Computing & COMmunications for Sustainable Development","http://perccom.univ-lorraine.fr/","ITMO University","Russia","Saint Petersburg",59.9342802,30.3350986,-1.6649,46.6921,30.1897,67.5848
"232",295,"PlantHealth"," European Master degree in Plant Health in Sustainable Cropping Systems","http://planthealth.upv.es/","Agrocampus Ouest","France","Rennes",48.117266,-1.6777926,-3.6778,37.4699,13.8768,53.5413
"233",296,"QEM"," Models and Methods of Quantitative Economics","http://erasmusmundus-qem.univ-paris1.fr/","Autonomous University of Barcelona","Spain","Barcelona",41.3850639,2.1734035,0.1734,39.3851,14.3155,54.0302
"234",298,"SPACEMASTER"," EMMC in Space Science and Technology","http://www.spacemaster.eu/","Cranfield University","UK","Cranfield",52.0686347,-0.6087411,-2.6087,33.6895,141.6917,67.5848
"235",299,"SSI"," Joint International Master in Smart Systems Integration","http://ssi-master.eu/","Budapest University of Technology and Economics","Hungary","Budapest",47.497912,19.040235,-5.1883,45.4979,21.0402,61.1708
"236",300,"STEPS"," Erasmus Mundus Master Course in Sustainable Transportation and Electrical Power Systems","http://emmcsteps.uniovi.es/","University of Rome","Italy","Rome",41.9027835,12.4963655,-10.4404,38.2048,14.4964,54.9548
"237",302,"SUSCOS"," Sustainable Constructions under Natural Hazards and Catastrophic Events","http://steel.fsv.cvut.cz/suscos/","University of Naples Federico II","Italy","Napoli",40.8517746,14.2681244,-10.4404,38.2048,24.1567,67.5848
"238",303,"TCCM"," Euromaster on Theoretical Chemistry and Computational Modelling","http://www.emtccm.org/","University of Groningen","Netherlands","Groningen",53.2193835,6.5665018,-10.6291,37.4699,14.3908,55.2194
"239",304,"TPTI"," Techniques, Patrimoine, Territoires de l'Industrie","http://www.tpti.eu/","University of Padova","Italy","Padova",45.4064349,11.8767611,-9.9093,36.5707,13.8768,50.8566
"240",305,"TRIBOS"," Joint European master in tribology of surfaces and interfaces","http://www.master-tribos.eu/","University of Coimbra","Portugal","Coimbra",40.2048286,-8.4403573,-10.4404,38.2048,24.1567,67.5848
"241",306,"TROPIMUNDO"," Erasmus Mundus Masters Course in Tropical Biodiversity and Ecosystems","http://www.tropimundo.eu/","Pierre and Marie Curie University","France","Paris",48.856614,2.3522219,0.3522,-29.4954,155.012,52.8503
"242",307,"VINIFERA"," European Master of Science of Viticulture and Enology","http://vinifera-euromaster.eu/","Hochschule Geisenheim University","Germany","Geisenheim",49.9864335,7.9666942,-11.1393,36.7223,15.2346,51.9844
"243",309,"WINTOUR"," EMJMD on Wine Tourism Innovation","http://www.wintour-master.eu/en_index/","University of Porto","Portugal","Porto",41.1579438,-8.6291053,-10.6291,39.1189,3.2445,46.8378
"244",310,"4CITIES"," UNICA Euromaster in Urban Studies","http://www.4cities.eu/","University of Copenhagen","Denmark","Copenhagen",55.6760968,12.5683371,-5.7038,3.6761,18.3738,52.8503
"245",311,"ADVANCES"," MA Advanced Development in Social Work","http://www.socialworkadvances.org/","Universit̩ Paris Ouest Nanterre La D̩fense","France","Paris",48.856614,2.3522219,-11.1393,36.7223,23.0122,59.0488
"246",312,"AMASE"," Joint European Master Programme on Advanced Materials Science and Engineering","http://www.amase-master.net/","Polytechnic University of Catalonia - BarcelonaTech","Spain","Barcelona",41.3850639,2.1734035,0.1734,39.3851,24.1567,67.5848
"247",313,"ASC"," Advanced Spectroscopy in Chemistry Master's Course","http://www.master-asc.org/","University Leipzig","Germany","Leipzig",51.3396955,12.3730747,1.0573,42.4949,26.9384,62.1699
"248",314,"ASTROMUNDUS"," Astrophysics","http://www.astromundus.eu/","University of Padova","Italy","Padova",45.4064349,11.8767611,-0.5959,39.9028,22.4489,53.5413
"249",315,"ATOSIM"," Atomic Scale Modelling of Physical, Chemical and Bio-molecular Systems","http://www.erasmusmundus-atosim.cecam.org/","Sapienza University","Italy","Rome",41.9027835,12.4963655,2.8357,39.9028,14.4964,54.3702
"250",316,"CARTO","CARTO E+ JMD Cartography","http://www.cartographymaster.eu/","University of Twente","Netherlands","Enschede",52.2215372,6.8936619,4.8937,46.1351,18.3738,54.2215
"251",317,"ChIR"," Erasmus Mundus Master in Chemical Innovation and Regulation","http://www.emmcchir.org/","Heriot Watt University","UK","Edinburgh",55.953252,-3.188267,-9.9304,35.0194,13.3426,57.9533
"252",319,"CLE"," Master Erasmus Mundus en  en Cultures Litt̩raires Europ̩ennes","http://www.cle.unibo.it/site/","Aristotle University of Thessaloniki","Greece","Thessaloniki",40.6400629,22.9444191,-19.366,12.7645,24.9444,50.5734
"253",320,"CoDe"," Joint European Master in Comparative Local Development","http://www.erasmusmundus-code.eu/","University of Regensburg","Germany","Regensburg",49.0134297,12.1016236,9.1217,44.0569,21.0402,51.0134
"254",321,"CoMEM"," Erasmus Mundus MSC Coastal and Marine Engineering and Management","http://www.ntnu.edu/studies/mscomem","City, University of London","UK","London",51.5073509,-0.1277583,-3.4044,39.3851,12.3951,65.4305
"255",322,"COSI","COSI Colour in Science and Industry","http://www.master-colorscience.eu/","Gjovik University College","Norway","Gjovik",60.7954302,10.6916303,-5.5986,35.1773,31.7636,64.601
"256",324,"Dyclam"," Dynamics of cultural landscapes and heritage management","http://www.dyclam.eu/fr/","University of Stuttgart","Germany","Stuttgart",48.7758459,9.1829321,-10.4043,37.6052,16.2681,50.8566
"257",325,"EACH"," Excellence in Analytical Chemistry","http://www.analyticalchemistry.eu/","Abo Akademi University","Finland","Turku",60.4518126,22.2666303,2.8357,43.764,24.2666,62.4518
"258",327,"EMARO+"," European Master on Advanced Robotics +","http://emaro.irccyn.ec-nantes.fr/","Jaume I University","Spain","Castellón de la Plana",39.9863563,-0.0513246,-3.5536,37.9864,23.0122,54.2297
"259",328,"EMECC NURSING"," Emergency and Critical Care Nursing","http://masternursing.uniovi.es/","Helsinki Metropolia University of Applied Sciences","Finland","Helsinki",60.1698557,24.938379,-10.686,35.0194,26.9384,62.1699
"260",329,"EMERALD"," Master Course in Georesources Engineering","http://em-georesources.eu/","Freiberg University of Mining and Technology","Germany","Freiberg",50.9128283,13.341727,3.5591,46.6921,24.1567,67.5848
"261",330,"EMGS"," Global Studies - A European Perspective","http://www.globalstudies-masters.info/","University of Vienna","Austria","Vienna",48.2081743,16.3738189,-2.1278,46.2082,19.0385,57.6419
"262",331,"EMLE"," European Master in Law and Economics","http://www.emle.org/","University of Ghent","Belgium","Ghent",51.0543422,3.7174243,1.7174,17.076,74.8777,55.5511
"263",332,"EMLex ","European Master in Lexicography","http://www.emlex.phil.uni-erlangen.de/","University of Minho","Portugal","Braga",41.5454714,-8.4265071,-10.5448,-35.9321,21.0402,54.1548
"264",333,"EMM-Nano","Nano - Erasmus Mundus Master in Nanoscience and Nanotechnology","http://www.emm-nano.org/","Dresden University of Technology","Germany","Dresden",51.0504088,13.7372621,2.7005,43.1885,15.7373,59.7089
"265",334,"EMQAL"," European Joint Master in Quality in Analytical Laboratories","http://www.emqal.org/","University of Cadiz","Spain","Cadiz",36.5270612,-6.2885962,-9.9304,34.5271,20.6466,62.3913
"266",336,"EMSD"," European Master programme in Systems Dynamics","http://www.europeansystemdynamics.eu/","Radboud University","Netherlands","Nijmegen",51.8125626,5.8372264,-11.1393,36.1157,15.3613,62.3913
"267",337,"EMSE"," European Masters Programme in Software Engineering","http://em-se.eu/","Technical University of Madrid","Spain","Madrid",40.4167754,-3.7037902,-5.7038,38.4168,27.4651,67.0121
"268",338,"EMSHIP"," European Education in Advanced Ship Design","http://www.emship.eu/","University of Rostock","Germany","Rostock",54.0924406,12.0991466,-3.5536,42.4056,30.008,56.0924
"269",339,"EPOG"," Master's Course - Economic Policies in the age of Globalisation : knowledge, finance and development","http://www.epog.eu/","Wits University","South Africa","Johannesburg",-26.2041028,28.0473051,-2.3007,-28.2041,30.0473,54.52
"270",340,"EUCOMOR"," European Master in Comparative Morphology","http://www.eucomor.net/","Poznań University of Life Sciences","Poland","Poznań",52.406374,16.9251681,2.4025,38.8518,18.9252,54.4064
"271",343,"EUROPHOTONICS"," Master in Photonics Engineering, Nanophotonics and Biophotonics","http://www.europhotonics.org/wordpress/","Autonomous University of Barcelona","Spain","Barcelona",41.3850639,2.1734035,0.1734,39.3851,27.2797,56.6872
"272",344,"EU4M - EMMC"," EMMC Mechatronic Engineering","http://www.eu4m.eu/","Nile University","Egypt","Giza",30.0130557,31.2088526,-7.8494,28.0131,42.9766,59.0051
"273",348,"GLOBED","GLOBED Erasmus Mundus Joint Master Degree on Education Policies for Global Development","http://globed.eu/","University of Amsterdam","The Netherlands","Amsterdam",52.3702157,4.8951679,0.1734,33.8956,16.4869,61.9139
"274",349,"IMAE"," International Master in Applied Ecology","http://www.emmc-imae.org/","University of East Anglia","UK","Norwich",52.6308859,1.297355,-53.2177,-32.0346,12.1228,56.3233
"275",350,"IMIM"," International Master in Industrial Management","http://www.imim.polimi.it/","Technical University of Munich","Germany","Munich",48.1351253,11.5819806,-5.7038,38.4168,13.582,57.9533
"276",351,"IMQP"," Erasmus Mundus Master in Quaternary and Prehistory","https://sites.google.com/a/unife.it/quaternary-prehistory/","University of Trás-os-Montes and Alto Douro","Portugal","Vila Rea",41.3010351,-7.7422354,-10.4043,37.6052,13.6198,50.8566
"277",352,"IMRCEES"," International Masters in Russian, Central and East European Studies","http://www.gla.ac.uk/postgraduate/erasmusmundus/imrcees/","University of Tartu","Estonia","Tartu",58.3776252,26.7290063,-6.2518,39.7151,78.8512,60.3776
"278",353,"IMRD"," International Master of Science in Rural Development","http://www.imrd.ugent.be/","Humboldt University of Berlin","Germany","Berlin",52.5200066,13.404954,-3.6778,41.7228,20.0764,54.52
